Designator,Mid X,Mid Y,Rotation,Layer
C1,24.87,55.09,90.0,top
C2,26.13,51.79,90.0,top
C3,32.37,51.79,270.0,top
C4,36.2,54.8,90.0,top
C5,41.2,54.8,90.0,top
C6,38.7,54.1,0.0,top
D1,29.25,52.18,0.0,top
D2,45.4,50.7,90.0,top
FID1,10.0,67.15,0.0,top
FID2,60.0,67.15,0.0,top
FID3,60.0,2.85,0.0,top
FID4,10.0,2.85,0.0,top
FID5,10.0,2.85,0.0,bottom
FID6,60.0,2.85,0.0,bottom
FID7,10.0,67.15,0.0,bottom
FID8,60.0,67.15,0.0,bottom
J1,28.96,47.85,0.0,top
L1,30.88,55.34,0.0,top
L2,38.7,51.5,0.0,top
R1,32.5,58.0,180.0,top
R2,25.4,58.0,180.0,top
R3,38.7,58.0,0.0,top
R4,41.0,56.9,270.0,top
R5,36.4,56.9,90.0,top
R6,43.415,50.7,180.0,top
R7,43.415,51.7,180.0,top
R8,43.4,49.7,180.0,top
U1,26.9755,55.338,90.0,top
U2,38.7,56.1,0.0,top
